id	Tournament	Sex	Year	Player1	Player2	Round	Result	FNL.1	FNL.2	FSP.1	FSW.1	SSP.1	SSW.1	ACE.1	DBF.1	WNR.1	UFE.1	BPC.1	BPW.1	NPA.1	NPW.1	TPW.1	ST1.1	ST2.1	ST3.1	ST4.1	ST5.1	FSP.2	FSW.2	SSP.2	SSW.2	ACE.2	DBF.2	WNR.2	UFE.2	BPC.2	BPW.2	NPA.2	NPW.2	TPW.2	ST1.2	ST2.2	ST3.2	ST4.2	ST5.2
29	FrenchOpen	women	2013	Kristina Mladenovic	Samantha Stosur	2	0	0	2	55	27	45	16	6	4	25	22	0	1	7	15	64	4	3				75	40	25	6	0	4	26	22	2	10	14	17	74	6	6			
32	AusOpen	men	2013	Teymuraz Gabashvili	Roger Federer	3	0	0	3	69	38	31	10	3	5	27	33	0	5	7	19	66	2	2	3			62	39	38	16	6	1	35	18	5	14	11	20	98	6	6	6		
33	USOpen	women	2013	F Pennetta	V Azarenka	6	0	0	2	44	12	56	7	1	3	19	23	6	5	20	12		4	2				56	21	44	10	0	6	15	25	13	8	30	20		6	6			
36	Wimbledon	women	2013	E.Birnerova	V.Lepchenko	1	1	2	1	76	44	24	15	2	2	33	28	12	3	15	6		6	4	6			72	43	28	13	7	6	34	46	6	1	25	16		2	6	4		
41	AusOpen	men	2013	Jeremy Chardy	Alexandr Dolgopolov	2	1	3	1	60	74	40	30	22	10	76	73	5	14	24	38	164	7	7	6	7		71	81	29	22	15	2	43	36	4	12	19	24	160	5	6	7	6	
42	AusOpen	men	2013	Fernando Verdasco	Ze Zhang	1	1	3	1	61	59	39	24	20	6	44	40	5	14	7	11	125	5	6	6	6		58	44	42	25	7	6	20	48	1	5	10	17	101	7	3	2	3	
43	AusOpen	women	2013	Ekaterina Makarova	Monica Niculescu	3	1	2	0	56	17	44	13	2	1	17	35	6	9	9	10	65	6	6				70	23	30	8	1	3	9	34	4	4	4	11	56	4	4			
44	FrenchOpen	women	2013	Maria Kirilenko	Victoria Azarenka	5	0	0	2	57	31	43	8	2	5	17	18	3	4	6	12	63	6	2				78	32	22	4	0	2	25	18	5	11	13	14	73	7	6			
46	AusOpen	women	2013	Sloane Stephens	Victoria Azarenka	4	0	0	2	72	24	28	9	0	0	20	32	0	2	6	8	55	3	2				69	32	31	10	3	7	20	20	3	14	13	17	74	6	6			
47	AusOpen	men	2013	Pablo Andujar	Jerzy Janowicz	2	0	1	3	79	71	21	20	11	1	57	28	3	11	17	26	149	6	6	6	3		67	76	33	25	15	5	63	47	3	11	11	18	151	4	7	7	6	
53	USOpen	men	2013	John Isner	Philipp Kohlschreiber	1	0	1	3	74	72	26	14	26	5			2	7	18	31	123	4	6	5	6		73	73	27	20	6	1			3	4	15	18	123	6	3	7	7	
56	AusOpen	men	2013	Peter Gojowczyk	Victor Hanescu	1	0	0	3	55	44	45	22	8	6	36	59	1	6	5	7	103	6	6	3			66	60	34	23	9	4	24	34	2	6	10	12	121	7	7	6		
57	Wimbledon	men	2013	T.Robredo	A.Murray	3	0	0	3	67	47	33	12	6	1	34	25	3	1	29	21		2	4	5			65	44	35	16	9	0	40	14	7	5	28	20		6	6	7		
58	AusOpen	men	2013	Benoit Paire	Roberto Bautista Agut	3	0	0	3	58	30	42	10	13	3	31	59	2	7	11	22	65	2	1	4			83	46	17	7	4	1	21	23	7	20	11	14	96	6	6	6		
59	Wimbledon	women	2013	R.Vinci	C.Scheepers	1	1	2	0	57	24	43	14	4	3	23	6	7	5	20	14		6	6				52	10	48	7	0	3	16	20	10	1	19	13		2	1			
61	AusOpen	men	2013	Jo-Wilfried Tsonga	Roger Federer	4	0	0	3	52	32	48	23	8	1	29	28	0	1	11	25	72	3	5	4			57	42	43	25	7	1	43	21	3	7	34	41	100	6	7	6		
63	FrenchOpen	men	2013	Rafael Nadal	Kei Nishikori	4	1	3	0	69	39	31	16	1	0	20	25	5	8	6	8	91	6	6	6			65	27	35	15	0	1	14	39	0	4	8	16	65	4	1	3		
67	Wimbledon	men	2013	M.Gicquel	V.Pospisil	1	0	0	3	59	41	41	27	7	6	22	28	6	1	11	6		3	2	6			70	56	30	11	25	3	53	30	12	4	33	26		6	6	7		
69	Wimbledon	women	2013	T.Pironkova	B.Zahlavova Strycova	2	1	2	0	68	37	32	10	3	2	25	18	6	2	19	16		7	6				64	28	36	15	6	0	20	12	1	0	30	16		5	3			
70	USOpen	women	2013	O Rogowska	S Errani	1	0	0	2	47	8	53	4	1	6	13	38	2	0	5	4		0	0				69	21	31	7	0	2	7	8	8	6	3	3		6	6			
72	USOpen	women	2013	J Hampton	K Mladenovic	2	1	2	0	56	27	44	15	1	4	23	33	16	6	11	6		7	6				59	30	41	14	5	5	27	46	12	4	12	8		5	4			
73	USOpen	women	2013	D Hantuchova	V Azarenka	5	0	0	2	58	14	42	5	3	3	19	18	4	3	10	5		2	3				60	20	40	9	1	4	17	15	11	7	13	12		6	6			
80	FrenchOpen	men	2013	Steve Johnson	Albert Montanes	1	0	2	3	55	53	45	32	5	7	56	41	4	5	19	35	118	4	6	3	6	1	65	59	35	21	5	4	38	20	6	19	11	16	142	6	3	6	3	6
82	USOpen	men	2013	Andrey Kuznetsov	Dudi Sela	1	0	2	3	53	59	47	44	8	8			10	18			183	6	3	7	7	4	59	65	41	38	2	7			11	26			187	7	6	6	5	6
83	AusOpen	men	2013	Tobias Kamke	Jack Sock	1	0	1	3	49	51	51	36	6	8	6	8	2	12			138	6	7	2	4		50	54	50	43	16	12	16	12	4	10			146	7	5	6	6	
84	AusOpen	women	2013	Sloane Stephens	Yaroslava Shvedova	1	1	2	0	75	31	25	7	1	1	22	27	6	12	1	3	82	7	6				58	22	42	10	3	13	14	43	4	6	3	6	61	6	3			
86	Wimbledon	men	2013	D.Brands	T.Berdych	2	0	0	3	75	53	25	11	19	1	33	10	1	1	20	13		6	4	2			58	40	42	26	15	1	55	10	11	4	29	20		7	6	6		
87	AusOpen	men	2013	Tomas Berdych	Kenny De Schepper	2	1	3	0	64	37	36	15	5	4	29	13	5	8	21	25	93	6	6	6			63	33	37	10	8	9	29	32	0	0	14	25	57	4	1	3		
88	AusOpen	men	2013	Thanasi Kokkinakis	Igor Sijsling	1	1	3	1	54	55	46	36	8	9	54	45	3	5	14	23	135	7	0	7	6		59	56	41	23	20	5	53	47	4	9	23	36	135	6	6	6	2	
91	Wimbledon	men	2013	J.Monaco	R.Ram	2	1	3	1	68	54	32	24	7	0	53	10	14	5	19	15		5	6	6	6		77	68	23	11	10	3	35	21	3	1	70	33		7	2	4	2	
93	FrenchOpen	women	2013	Stephanie Foretz Gacon	Roberta Vinci	1	0	0	2	66	16	34	5	5	2	20	29	0	0	7	21	32	3	0				60	20	40	12	0	2	10	10	4	5	6	6	58	6	6			
94	AusOpen	men	2013	Stanislas Wawrinka	Alejandro Falla	2	1	3	1	56	57	44	31	9	4	61	46	6	17	23	29	142	6	6	6	6		60	56	40	25	1	3	26	37	2	7	24	39	117	3	3	7	4	
95	FrenchOpen	women	2013	Jelena Jankovic	Garbine Muguruza	2	1	2	0	60	16	40	11	3	1	10	12	6	12	2	6	58	6	6				54	13	46	8	0	7	12	29	1	2	9	15	34	3	0			
98	FrenchOpen	women	2013	Annika Beck	Victoria Azarenka	2	0	0	2	66	22	34	7	1	3	16	23	3	9	2	3	54	4	3				63	24	37	7	1	6	26	26	6	11	14	18	67	6	6			
99	FrenchOpen	men	2013	Alexandr Dolgopolov	Dmitry Tursunov	1	0	0	3	55	51	45	22	14	2	44	50	3	7	8	11	116	6	4	6			51	47	49	28	8	6	38	42	4	8	7	13	119	7	6	7		
102	FrenchOpen	men	2013	Michal Przysiezny	Rhyne Williams	1	1	3	1	67	75	33	27	13	4	57	31	4	12	29	41	151	6	6	7	7		67	66	33	21	19	2	45	33	1	10	6	16	134	3	7	5	5	
106	USOpen	men	2013	Roger Federer	Adrian Mannarino	1	1	3	0	57	36	43	15	8	4			6	14	19	24	90	6	6	6			65	27	35	9	1	0			0	1	9	18	54	3	0	2		
107	FrenchOpen	women	2013	Su-Wei Hsieh	Maria Sharapova	1	0	0	2	62	18	38	5	0	3	8	8	0	0	1	3	31	2	1				68	25	32	8	4	0	25	19	4	6	3	5	57	6	6			
108	USOpen	men	2013	Novak Djokovic	Joao Sousa	1	1	3	0	68	30	32	12	3	2			8	13	22	30	94	6	6	6			59	30	41	10	2	3			1	2	10	21	54	0	2	2		
110	Wimbledon	women	2013	O.Puchkova	S.Stosur	2	0	0	2	56	9	44	3	0	5	8	12	4	2	10	6		2	2				69	20	31	11	3	2	22	10	6	6	12	12		6	6			
111	AusOpen	men	2013	Bradley Klahn	Grigor Dimitrov	1	0	1	3	58	54	42	28	10	9	10	9	0	0			105	7	4	4	3		57	55	43	30	14	4	14	4	4	8			133	6	6	6	6	
112	AusOpen	men	2013	Blaz Rola	Federico Delbonis	1	1	3	0	68	57	32	13	6	8	6	8	4	9			108	6	6	7			63	38	37	16	4	1	4	1	0	8			86	4	2	5		
114	Wimbledon	men	2013	J.Isner	E.Donskoy	1	1	3	0	75	55	25	19	22	1	40	20	4	2	24	16		6	7	7			65	47	35	15	4	4	27	20	0	0	18	13		1	6	6		
115	USOpen	women	2013	A Barty	A Pavlyuchenkova	2	0	0	2	52	13	48	10	3	2	3	2	0	0				4	0				55	21	45	11	4	2	4	2	5	4				6	6			
117	AusOpen	women	2013	Sloane Stephens	Ajla Tomljanovic	2	1	2	1	71	39	29	14	3	3	25	36	5	10	10	13	92	3	6	7			54	35	46	22	3	6	25	44	3	6	8	16	87	6	2	5		
119	Wimbledon	women	2013	C.Suarez Navarro	M.Lucic-Baroni	2	1	2	1	59	30	41	16	1	2	16	13	8	5	12	7		1	6	6			56	28	44	16	7	3	30	31	9	4	8	5		6	3	3		
120	Wimbledon	men	2013	J.Tipsarevic	V.Troicki	1	0	0	3	61	47	39	21	3	1	28	16	4	0	33	24		3	4	6			71	55	29	16	15	2	40	26	10	2	38	27		6	6	7		
121	Wimbledon	men	2013	J.Melzer	S.Stakhovsky	3	1	3	1	67	51	33	19	9	0	47	16	7	6	39	25		6	2	7	6		62	45	38	21	14	6	44	20	9	3	65	38		2	6	5	3	
123	AusOpen	women	2013	Monica Puig	Anna Tatishvili	1	1	2	0	61	30	39	13	8	5	25	27	4	5	6	6	68	6	6				68	20	32	5	0	4	10	23	1	8	6	7	48	2	4			
125	AusOpen	women	2013	Flavia Pennetta	Mona Barthel	3	1	2	0	44	17	56	15	3	4	14	10	6	15	3	5	70	6	7				60	22	40	13	4	6	22	45	2	4	6	10	55	1	5			
126	USOpen	women	2013	L Robson	L Dominguez Lino	1	1	2	0	57	27	43	7	6	8	33	30	14	7	19	10		7	6				60	20	40	8	4	5	10	21	9	3	5	4		5	0			
128	Wimbledon	men	2013	L.Mayer	A.Bedene	1	1	3	0	63	47	37	20	13	4	41	33	7	4	24	16		6	6	6			60	34	40	16	7	3	19	30	6	0	10	5		2	3	4		
129	Wimbledon	women	2013	E.Cabeza Candela	C.Wozniacki	1	0	0	2	68	9	32	3	0	1	12	18	5	1	15	8		0	2				72	29	28	2	3	3	12	7	8	6	9	6		6	6			
130	Wimbledon	men	2013	V.Troicki	A.Kuznetsov	2	1	3	0	63	43	37	16	15	4	30	17	12	4	22	16		6	6	6			65	34	35	15	3	3	26	22	1	1	21	13		4	3	4		
131	AusOpen	women	2013	Zarina Diyas	Simona Halep	3	0	0	2	61	16	39	7	0	3	9	32	2	4	7	9	42	1	4				52	18	48	13	1	3	18	20	6	6	3	6	62	6	6			
133	USOpen	men	2013	Richard Gasquet	Milos Raonic	1	1	3	2	59	81	41	45	6	9			5	21	31	44	195	6	7	2	7	7	56	83	44	46	39	11			6	22	47	69	207	7	6	6	6	5
134	USOpen	men	2013	Jiri Vesely	Denis Kudla	1	0	1	3	55	50	45	30	10	8			2	5			112	2	2	7	5		63	56	37	27	7	5			7	17			140	6	6	6	7	
135	USOpen	men	2013	Tobias Kamke	Denis Istomin	1	0	0	3	46	19	54	23	3	5			2	2			62	4	2	2			46	24	54	21	6	3			7	13			82	6	6	6		
136	FrenchOpen	men	2013	Igor Sijsling	Jurgen Melzer	1	1	3	0	64	41	36	18	16	3	31	16	6	11	3	8	94	6	6	6			72	37	28	6	5	6	24	22	2	5	8	10	71	4	3	2		
137	FrenchOpen	women	2013	Pauline Parmentier	Magdalena Rybarikova	1	0	0	2	54	12	46	6	0	6	5	22	1	1	3	8	30	0	1				73	19	27	6	2	0	14	13	6	12	8	9	59	6	6			
138	AusOpen	men	2013	Jo-Wilfried Tsonga	Filippo Volandri	1	1	3	0	62	37	38	23	15	1	36	25	5	13	12	15	104	7	6	6			57	35	43	20	2	6	28	39	1	2	20	31	77	5	3	3		
139	AusOpen	men	2013	Santiago Giraldo	Sam Querrey	1	0	1	3	65	51	35	22	9	3	35	41	2	7	6	12	108	3	2	6	6		63	60	37	22	24	4	47	45	4	7	14	17	122	6	6	3	7	
143	USOpen	men	2013	Novak Djokovic	Stanislas Wawrinka	1	1	3	2	67	64	33	25	9	6			4	19	29	40	165	2	7	3	6	6	50	68	50	48	8	7			5	9	26	41	165	6	6	6	3	4
146	AusOpen	men	2013	Andy Murray	Go Soeda	1	1	3	0	69	33	31	11	12	2	32	13	7	13	4	5	84	6	6	6			61	28	39	6	6	3	23	33	0	0	11	16	49	1	1	3		
147	AusOpen	men	2013	Andreas Seppi	Donald Young	2	0	2	3	57	57	43	33	12	10	47	65	6	18	9	15	165	4	6	3	6	5	61	71	39	29	6	15	47	78	6	15	31	48	158	6	2	6	4	7
148	Wimbledon	men	2013	R.Berankis	P-H.Mathieu	1	0	1	3	52	73	48	36	19	10	67	38	8	1	35	23		6	5	7	4		61	73	39	30	26	4	68	25	10	3	35	29		7	7	6	6	
149	AusOpen	women	2013	Marina Erakovic	Zarina Diyas	2	0	0	2	50	15	50	8	2	5	15	27	1	10	3	4	46	4	0				70	27	30	10	1	1	27	15	5	5	2	2	66	6	6			
151	USOpen	men	2013	Evgeny Donskoy	Lleyton Hewitt	1	0	1	3	58	55	42	17	13	2			1	7	6	14	111	3	6	6	1		52	49	48	37	11	2			4	7	24	31	128	6	7	3	6	
152	AusOpen	women	2013	Jelena Jankovic	Misaki Doi	1	1	2	0	60	23	40	11	6	6	20	19	5	8	2	4	59	6	6				52	12	48	5	1	3	10	26	1	8	0	2	36	1	2			
153	AusOpen	men	2013	Jan Hajek	Damir Dzumhur	1	0	0	3	73	31	27	6	2	6	2	6	1	2			55	4	2	1			53	31	47	19	4	3	4	3	7	12			95	6	6	6		
160	AusOpen	women	2013	Teliana Pereira	Anastasia Pavlyuchenkova	1	0	0	2	68	43	32	14	3	7	3	7	2	4			84	6	4				62	32	38	15	3	5	3	5	3	12			93	7	6			
163	Wimbledon	women	2013	N.Bratchikova	A.Beck	1	0	0	2	65	20	35	8	2	4	24	30	6	2	19	12		3	2				72	29	28	14	2	0	14	11	11	6	2	1		6	6			
164	AusOpen	women	2013	Angelique Kerber	Flavia Pennetta	4	0	1	2	64	35	36	10	1	4	25	35	5	6	5	13	77	1	6	5			60	33	40	12	8	2	43	37	8	18	17	27	98	6	4	7		
166	Wimbledon	women	2013	C.Suarez Navarro	L.Dominguez Lino	1	1	2	0	68	27	32	14		1	23	19	10	6	24	18		6	6				64	16	36	5		3	12	24	10	2	22	14		2	2			
168	FrenchOpen	women	2013	Nadia Petrova	Monica Puig	1	0	1	2	58	37	42	16	12	3	29	50	5	8	5	9	99	6	5	4			52	40	48	21	4	6	21	36	6	9	3	5	103	3	7	6		
169	FrenchOpen	men	2013	Benoit Paire	Marcos Baghdatis	1	1	2	1	46	40	54	29	6	2	39	46	2	3	21	28	101	3	7	4			53	34	47	25	2	7	17	24	2	14	13	25	104	6	6	3		
171	FrenchOpen	men	2013	Marcel Granollers	Feliciano Lopez	1	0	2	2	70	55	30	18	7	3	29	37	5	14	17	34	132	5	6	4	6		58	52	42	33	12	3	52	66	4	5	26	38	122	7	2	6	4	
174	Wimbledon	women	2013	R.Vinci	D.Cibulkova	3	1	2	0	56	18	44	17	2	2	18	11	9	5	23	18		6	6				64	15	36	9	0	2	14	22	6	2	20	14		1	4			
176	AusOpen	women	2013	Kaia Kanepi	Garbine Muguruza	1	0	1	2	64	27	36	12	6	3	22	39	3	9	3	4	69	2	6	2			51	28	49	20	5	4	26	31	5	12	1	3	85	6	2	6		
177	FrenchOpen	men	2013	Martin Klizan	Michael Russell	1	1	2	1	49	29	51	22	7	4	32	37	6	11	13	19	92	3	6	6			69	35	31	9	3	4	22	32	3	12	10	19	81	6	3	1		
180	Wimbledon	women	2013	S-W.Hsieh	T.Maria	1	1	2	0	63	17	37	10	1	1	23	13	14	6	13	8		6	6				56	16	44	7	2	10	11	29	1	0	8	2		1	0			
182	FrenchOpen	women	2013	Na Li	Bethanie Mattek-Sands	2	0	1	2	63	34	37	17	3	5	20	34	5	9	2	9	88	7	3	2			54	35	46	18	3	3	32	37	7	14	5	5	97	5	6	6		
183	FrenchOpen	women	2013	Dominika Cibulkova	Lesia Tsurenko	1	1	2	0	60	24	40	11	1	2	14	20	6	10	4	6	67	6	6				55	12	45	7	1	3	16	35	3	7	0	2	46	1	4			
184	AusOpen	men	2013	Nicolas Mahut	Matthew Ebden	1	0	2	3	64	63	36	23	7	4	49	57	6	15	24	46	137	3	5	6	6	3	67	58	33	23	7	7	45	55	6	12	28	37	131	6	7	4	0	6
189	FrenchOpen	men	2013	Somdev Devvarman	Roger Federer	2	0	0	3	61	19	39	16	2		12	14	0	3	3	14	52	2	1	1			62	30	38	18	3		54	33	7	14	19	30	88	6	6	6		
191	AusOpen	women	2013	Alize Cornet	Camila Giorgi	2	1	2	1	59	39	41	17	1	9	5	29	6	13	2	6	103	6	4	6			56	31	44	20	0	12	28	73	5	12	19	33	92	3	6	4		
192	FrenchOpen	women	2013	Serena Williams	Anna Tatishvili	1	1	2	0	73	21	27	7	8	1	27	14	5	11	1	1	56	6	6				58	11	42	6	0	3	4	22	0	0	0	0	22	0	1			
195	FrenchOpen	men	2013	Mikhail Youzhny	Janko Tipsarevic	3	1	3	0	64	40	36	21	3	3	42	29	4	8	16	24	96	6	6	6			49	28	51	25	5	5	22	22	0	3	10	20	77	4	4	3		
197	FrenchOpen	men	2013	Novak Djokovic	Tommy Haas	5	1	3	0	64	41	36	22	11	0	46	25	5	12	22	27	116	6	7	7			60	48	40	21	4	5	19	34	2	2	2	17	84	3	6	5		
199	Wimbledon	women	2013	M.Erakovic	S.Peng	2	1	2	0	58	35	42	15	6	5	24	14	4	2	16	11		7	6				74	30	26	9	4	1	17	16	3	0	8	4		6	2			
201	FrenchOpen	women	2013	Alize Cornet	Silvia Soler-Espinosa	2	1	2	0	74	24	26	10	2	1	22	18	5	10	9	11	62	6	6				53	13	47	10	0	2	10	30	1	7	7	10	42	1	3			
203	Wimbledon	women	2013	P.Kvitova	E.Makarova	3	0	1	2	63	30	37	8	2	4	26	19	8	3	10	8		6	2	1			75	35	25	8	4	1	18	5	11	4	5	4		3	6	2		
207	Wimbledon	women	2013	K.Flipkens	F.Pennetta	4	1	2	0	60	26	40	14	6	1	31	20	12	6	41	26		7	6				66	26	34	11	0	0	20	19	6	4	31	18		6	3			
209	USOpen	men	2013	Ryan Harrison	Rafael Nadal	1	0	0	3	62	41	38	10	11	2			0	2	12	21	69	4	2	2			72	42	28	11	3	5			5	7	25	31	94	6	6	6		
212	Wimbledon	women	2013	P.Martic	Ka.Pliskova	2	1	2	0	54	24	46	15	5	8	27	23	11	4	21	18		7	6				63	28	37	6	5	8	24	27	2	2	20	10		6	1			
213	Wimbledon	men	2013	A.Kuznetsov	A.Montanes	1	1	3	1	63	56	37	21	21	3	56	32	16	4	21	15		6	6	3	6		73	59	27	14	7	8	33	28	9	2	11	10		3	4	6	3	
216	FrenchOpen	women	2013	Melinda Czink	Francesca Schiavone	1	0	0	2	57	23	43	12	1	4	18	26	2	6	11	19	51	0	6				57	26	43	14	4	5	29	20	5	10	5	8	79	6	7			
217	AusOpen	women	2013	Na Li	Lucie Safarova	3	1	2	1	60	43	40	18	5	6	17	50	4	10	8	9	99	1	7	6			59	33	41	17	2	7	21	43	6	16	5	6	99	6	6	3		
219	FrenchOpen	women	2013	Ashleigh Barty	Lucie Hradecka	1	1	2	1	53	32	47	23	4	2	26	29	7	18	11	11	103	7	2	6			57	31	43	18	5	7	38	45	6	10	11	21	97	5	6	1		
221	Wimbledon	men	2013	J.Duckworth	D.Kudla	1	0	2	3	58	63	42	20	19	5	53	44	17	4	47	32		4	2	6	6	1	61	63	39	35	5	3	44	31	15	7	47	31		6	6	3	4	6
223	FrenchOpen	men	2013	Michal Przysiezny	Richard Gasquet	2	0	0	3	64	27	36	8	3	0	14	34	2	3	6	13	53	3	3	0			59	32	41	14	9	3	39	15	8	13	6	9	92	6	6	6		
224	USOpen	women	2013	S Kuznetsova	M Burdette	1	1	2	0	63	26	37	12	5	1	15	23	11	4	5	4		6	7				68	27	32	15	0	3	15	33	1	1	9	5		3	5			
225	Wimbledon	women	2013	A.Radwanska	N.Li	5	1	2	1	77	52	23	9	0	5	32	18	16	5	32	21		7	4	6			77	57	23	13	1	4	58	40	10	4	71	48		6	6	2		
226	AusOpen	women	2013	Johanna Larsson	Victoria Azarenka	1	0	0	2	72	24	28	5	2	5	13	29	3	10	4	5	59	6	2				75	41	25	4	0	7	27	32	5	5	15	17	80	7	6			
227	USOpen	men	2013	Guillaume Rufin	Dmitry Tursunov	1	0	0	2	43	14	57	12	4	1			1	8			48	6	1				58	24	42	13	3	3			1	2			51	7	1			
228	Wimbledon	women	2013	Ka.Pliskova	N.Petrova	1	1	2	0	73	33	27	4	13	1	32	6	7	3	5	4		6	6				60	20	40	8	6	0	17	11	1	0	9	4		3	2			
232	USOpen	men	2013	Pablo Andujar	Milos Raonic	1	0	0	3	64	32	36	17	2	5			1	7	10	19	79	1	2	4			63	44	37	12	9	2			6	18	33	56	102	6	6	6		
234	USOpen	men	2013	Julien Benneteau	Michal Przysiezny	1	1	3	1	61	49	39	25	7	6			6	11			125	6	5	6	6		58	52	42	27	14	2			4	6			110	4	7	4	4	
237	USOpen	men	2013	Evgeny Donskoy	Peter Gojowczyk	1	1	3	2	55	63	45	34	9	2			5	17			155	6	6	3	4	6	55	67	45	30	15	8			4	10			151	3	4	6	6	3
244	FrenchOpen	men	2013	Bernard Tomic	Victor Hanescu	1	0	0	3	63	38	37	17	6	3	36	34	1	11	14	15	91	5	6	1			71	51	29	19	5	3	27	22	3	5	14	25	103	7	7	2		
246	FrenchOpen	men	2013	Jurgen Zopp	Tommy Robredo	1	0	0	3	68	35	32	9	3	0	24	27	0	0	14	27	58	3	2	1			65	37	35	12	6	3	32	7	6	15	8	10	95	6	6	6		
248	USOpen	men	2013	Horacio Zeballos	Adrian Mannarino	1	0	1	3	52	44	48	29	8	7			1	6			109	6	4	2	1		57	47	43	30	11	7			6	13			135	4	6	6	6	
254	FrenchOpen	women	2013	Jamie Hampton	Lucie Safarova	1	1	2	1	60	50	40	24	7	5	38	50	6	11	5	14	125	7	3	9			67	53	33	19	4	1	35	43	6	16	11	17	130	6	6	7		
256	FrenchOpen	men	2013	Milos Raonic	Michael Llodra	2	1	3	1	63	62	37	25	24	5	75	42	4	12	33	46	144	7	3	7	6		61	59	39	32	14	4	44	26	2	7	28	56	127	5	6	6	2	
257	FrenchOpen	women	2013	Dinah Pfizenmaier	Mandy Minella	1	1	2	0	67	28	33	5	2	4	30	30	7	13	3	3	69	7	6				57	17	43	8	1	5	7	24	3	6	1	5	47	5	1			
259	FrenchOpen	women	2013	Kristyna Pliskova	Mariana Duque-Marino	1	0	0	2	60	18	40	9	0	3	6	27	0	4	3	11	38	2	0				65	23	35	9	3	1	27	16	5	12	12	14	65	6	6			
260	Wimbledon	men	2013	P.Andujar	A.Mannarino	1	0	0	3	60	32	40	12	1	3	15	20	0	0	15	11		1	2	3			63	31	37	17	6	0	34	14	13	6	31	23		6	6	6		
265	Wimbledon	women	2013	E.Vesnina	A.Hlavackova	1	1	2	0	73	29	27	7	1	1	21	16	9	6	14	8		6	7				79	25	21	6	2	2	19	26	6	3	14	8		2	5			
269	Wimbledon	women	2013	M.Bartoli	K.Flipkens	6	1	2	0	61	21	39	10	5	3	23	10	7	5	11	11		6	6				49	8	51	7	0	1	10	6	2	1	21	8		1	2			
